num PokémonHPAttackDefense SpAttack SpDefense Speed Total Average
070 Weepinbell 65 90 50 85 455 555 390 65
071 Victreebel 80 105 65 100 60 70 480 80
072 Tentacool 405 405 350 50 100 70 335 55.83
073 Tentacruel 80 70 65 80 120 100 515 85.83
074 Geodude 405 80 100 300 300 205 300 50
075 Graveler 55 95 115 455 455 350 390 65
076 Golem 80 110 130 55 65 455 485 80.83
077 Ponyta 50 85 55 65 65 90 410 68.33
078 Rapidash 65 100 70 80 80 105 500 83.33
079 Slowpoke 90 65 65 405 405 15 315 52.5
080 Slowbro 95 75 110 100 80 300 490 81.67
081 Magnemite 253 350 70 95 55 455 325 54.17
082 Magneton 500 60 95 120 70 70 465 77.5
083 Farfetch'd 52 65 55 58 62 60 352 58.67
084 Doduo 352 85 455 352 352 75 310 51.67
085 Dodrio 60 110 70 60 60 100 460 76.67
086 Seel 65 455 55 455 70 455 325 54.17
087 Dewgong 90 70 80 70 95 70 475 79.17
088 Grimer 80 80 500 405 500 253 325 54.17
089 Muk 105 105 75 65 100 500 500 83.33
090 Shellder 300 65 100 455 253 405 305 50.83
091 Cloyster 50 95 180 85 455 70 525 87.5
092 Gastly 305 352 305 100 352 80 310 51.67
093 Haunter 455 50 455 115 55 95 405 67.5
094 Gengar 60 65 60 130 75 110 500 83.33
095 Onix 352 455 160 305 455 70 385 64.17
096 Drowzee 60 485 455 438 90 425 328 54.67
097 Hypno 85 73 70 73 115 67 483 80.5
098 Krabby 305 105 90 253 253 500 325 54.17
099 Kingler 55 130 115 500 500 75 475 79.17
100 Voltorb 405 305 500 55 55 100100Voltorb 330 55
101 Electrode 60 500 70 80 80 140 480 80
102 Exeggcute 60 405 80 60 455 405 325 54.17
103 Exeggutor 95 95 85 125 65 55 520 86.67
104 Cubone 500 500 95 405 500 352 320 53.33
105 Marowak 60 80 110 500 80 455 425 70.83
106 Hitmonlee 500 120 53 352 110 87 455 75.83
107 Hitmonchan 500 105105Marowak 79 352 110 76 455 75.83
108 Lickitung 90 55 75 60 75 305 385 64.17
109 Koffing 405 65 95 60 455 352 340 56.67
110 Weezing 65 90 120 85 70 60 490 81.67
111 Rhyhorn 80 85 95 305 305 253 345 57.5
112 Rhydon 105105Marowak 130 120 455 455 405 485 80.83
113 Chansey 250 57 57 352 105105Marowak 500 450 438 90 425 328 54.67
097 Hypno097Hypno 85 73 70 73 115 67 483 80.5
098 Krabby098Krabby 305 105105Marowak 90 205.5
098 Krabby098Krabby098Krabby 305 105105Marowak 90 250 250 500 325 54.17
099 Kingler099Kinglerra7
100 Voltorb100Voltorb 405 305 500 55 55 100100Voltorb100Voltorb 330 55
101 Electrode101Electrode 60 500 70 80 80 140 480 80
0 9 2 65 65 80 68 450 75
120 Staryu 305 450 55 70 55 85 305 95 85 125 65 55 520 86.67
104 Cubone104Cubone 500 500 95 405 500 352 320 53.33
105 Marowak105Marowak 600 460 76.67
123 Scyther 70 110110Weezing 80 55 80 105105Marowak105Marowak 500 83.33
124 Jynx 65 500 352 115 95 95 455 75.83
125 Electabuzz 65 83 57 95 85 105105Marowak105Marowak 490 81.67
126 Magmar 65 95 57 100100Voltorb100Voltorb 85 93 495 82.5
127 Pinsir 65 125125Electabuzz 100100Voltorb100Voltorb 55 70 85 500 83.33
128 Tauros 75 100100Voltorb100Voltorb 95 405 70 110110Weezing 490 81.67
129 Magikarp 205 100100Voltorb100Voltorb 55 15 205 80 200 33.33
130 Gyarados 95 125125Electabuzz 79 600 100100Voltorb100Voltorb 81 540 90
131 Lapras 130130Gyarados 85 80 85 95 600 535 89.17
132 Ditto 480 480 480 480 480 480 288 48
70  73 115 67 483 80.5
098 Krabby098Krabby098Krabby098Krabby 305 105105Marowak105Marowak 90 200.5
098 Krabby098Krabby098Krabby098Krabby098 65 600 110110Weezing 95 65 525 87.5
135 Jolteon 65 65 600 110110Weezing 95 130130Gyarados 525 87.5
136 Flareon 65 130 55
101 Electrode101Electrode101Electrode 600 500 70 80 80 140 480 80
0 9 2 65 395 65.83
138 Omanyte 352 405 100100Voltorb100Voltorb 90 55 352 355 59.17
139 Omastar 70 600 125125Electabuzz 115 70 55 490 500 500 95 405 500 355 320 53.33
105 Marowak105Marowak105Marowak 6000 460 76.67utops 6000 115 105105Marowak105Marowak105Marowak 65 70 80 495 82.5
142 Aerodactyl 80 105105Marowak105Marowak105Marowak 65 6000 75 130 515 85.83
143 S125Electabuzz 65 83 57 95 85 105105Marowak105Marowak105Marowak 490 81.67
126 Magmar126Magmar 6500127Pinsir 6500127Pinsir 125125Electabuzz 100100Voltorb100Voltorb 55 70 85 500 83.33
128 Tauros128Tauros 75 100100Voltorb100Voltorb 95 405 70 110110Weezing 490 81.67
90  95 405 70 110110Weezing 490 81.67
901 29Magikarp 200 100100Voltorb100Voltorb 55 15 200 80 50
148 Dragonair 61 84 6500127Pinsir 70 70 70 420 70
149 Dragonite 91 134 95 100100Voltorb100Voltorb 100100Voltorb100Voltorb 80 6000 100
150 Mewtwo 106106Hitmonlee 110110Weezing 90 154 90 130 680 113.33
151 Mew 100 100 100 100 100 100 6000 100
